date,maxtp,mintp,rain,people_vaccinated,total_boosters,congestion,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,Retail and Recreation,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,Daily_Confirmed,Wate Qty
29-Aug-20,14.4,6.3,0,0,0,27,2,3,2,3,1,1,2,2,-32,-8,21,-37,-8,4,23,44.68
30-Aug-20,16.6,4.7,0,0,0,24,2,3,2,3,1,1,2,2,-29,-10,34,-36,-4,3,26,9.74
31-Aug-20,19.3,6.8,0,0,0,34,2,3,2,3,1,1,2,2,-21,-5,47,-47,-52,14,100,42.06
1-Sep-20,21.1,10.6,0,0,0,37,2,3,2,3,1,1,2,2,-22,-1,58,-45,-51,14,55,101.88
2-Sep-20,22.5,13,20.6,0,0,43,2,3,2,3,1,1,2,2,-30,-9,17,-49,-51,17,50,132.32
3-Sep-20,19.1,10.7,0.1,0,0,42,2,3,2,3,1,1,2,2,-27,-6,27,-48,-50,16,24,127.52
4-Sep-20,17.3,9.5,3.9,0,0,45,2,3,2,3,1,1,2,2,-30,-7,13,-47,-48,14,129,99.96
5-Sep-20,17.1,9.3,2.1,0,0,28,2,3,2,3,1,1,2,2,-33,-10,18,-39,-11,5,68,115.64
6-Sep-20,19.4,11.1,0.1,0,0,22,2,3,2,3,1,1,2,2,-31,-10,28,-38,-7,4,54,12.04
7-Sep-20,18.5,11.1,3,0,0,38,2,3,2,3,1,1,2,2,-27,-9,14,-49,-52,15,182,124.72
8-Sep-20,22.5,16.4,0.3,0,0,46,2,3,2,3,1,1,2,2,-27,-5,57,-46,-51,14,49,129.28
9-Sep-20,17.9,10.1,1,0,0,41,2,3,2,3,1,1,2,2,-28,-7,40,-48,-49,15,108,124.8
10-Sep-20,15.5,10.6,0,0,0,40,2,3,2,3,1,1,2,2,-29,-8,19,-49,-49,15,121,107.08
11-Sep-20,16.4,11.4,0.3,0,0,42,2,3,2,3,1,1,2,2,-31,-7,9,-47,-47,14,75,93.4
12-Sep-20,18.1,9.4,0.1,0,0,28,2,3,2,3,1,1,2,2,-32,-7,38,-37,-10,4,154,93.68
13-Sep-20,23,14,0,0,0,28,2,3,2,3,1,1,2,2,-31,-8,69,-34,-6,2,106,13.04
14-Sep-20,24.7,13.3,0,0,0,37,2,3,2,3,1,1,2,2,-27,-8,58,-47,-46,13,211,141.48
15-Sep-20,24.6,14.3,1.3,0,0,44,2,3,2,3,1,1,2,2,-26,-4,93,-44,-45,13,133,119.64
