date,maxtp,mintp,rain,people_vaccinated,total_boosters,congestion,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,Retail and Recreation,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,Daily_Confirmed,Wate Qty
27-May-20,20,9.4,0,0,0,20,3,2,2,4,2,1,2,2,-62,-4,-12,-54,-62,26,22,128.64
28-May-20,23.3,10.1,0,0,0,21,3,2,2,4,2,1,2,2,-62,0,-10,-54,-61,26,12,119.12
29-May-20,23.5,11.3,0,0,0,23,3,2,2,4,2,1,2,2,-62,2,-16,-55,-61,26,15,99.24
30-May-20,22,9.2,0,0,0,17,3,2,2,4,2,1,2,2,-67,2,-13,-43,-27,12,11,51.88
31-May-20,21.5,9,0,0,0,14,3,2,2,4,2,1,2,2,-66,-5,-17,-45,-20,11,39,26.64
1-Jun-20,21.1,8.9,0,0,0,14,3,2,2,4,2,1,2,2,-61,-9,38,-56,-81,27,5,52.22
2-Jun-20,26,6.9,0,0,0,24,3,2,2,4,2,1,2,2,-58,1,4,-50,-60,23,16,53.74
3-Jun-20,15,9,0.8,0,0,21,3,2,2,4,2,1,2,2,-63,-8,-50,-59,-61,27,8,63.82
4-Jun-20,17.9,6.5,0.2,0,0,21,3,2,2,4,2,1,2,2,-62,-7,-49,-60,-60,28,11,59.52
5-Jun-20,16.2,5.2,1.4,0,0,25,3,2,2,4,0,1,2,2,-61,-7,-38,-63,-59,28,14,45.12
6-Jun-20,12.9,5.1,0.7,0,0,17,3,2,2,4,0,1,2,2,-65,-9,-54,-63,-30,16,16,40
7-Jun-20,17.9,9.5,0.2,0,0,17,3,2,2,4,0,1,2,2,-63,-12,-21,-56,-22,13,2,3.4
8-Jun-20,18.3,5.1,0,0,0,27,3,2,2,4,0,1,2,2,-49,-7,23,-53,-58,22,4,53.4
9-Jun-20,15.4,6.3,0.1,0,0,27,3,2,2,4,0,1,2,2,-51,-6,-11,-58,-58,23,4,35.36
10-Jun-20,15.2,9.2,8.6,0,0,26,3,2,2,4,0,1,2,2,-54,-8,-28,-60,-59,25,6,57.52
11-Jun-20,13.9,9.9,4.9,0,0,26,3,2,2,4,0,1,2,2,-56,-9,-34,-63,-59,27,8,66.1
12-Jun-20,14.5,10.7,0.9,0,0,31,3,2,2,4,0,1,2,2,-56,-5,-26,-60,-57,26,30,48.04
13-Jun-20,17.5,11.9,4.8,0,0,25,3,2,2,4,0,1,2,2,-56,0,6,-46,-22,11,5,43.34
14-Jun-20,20.1,12,0.5,0,0,24,3,2,2,4,0,1,2,2,-56,-11,12,-45,-16,10,15,9.24
15-Jun-20,22.6,9.1,0,0,0,28,3,2,2,4,0,1,2,2,-44,-5,76,-47,-57,20,7,44.42
16-Jun-20,20.9,11.8,1.5,0,0,28,3,2,2,4,0,1,2,2,-44,-1,44,-49,-56,21,4,46.72
17-Jun-20,17,12.8,13.6,0,0,28,3,2,2,4,0,1,2,2,-48,-3,4,-50,-57,23,9,73.24
18-Jun-20,16.9,11.9,5.8,0,0,29,3,2,2,4,0,1,2,2,-47,-6,-19,-56,-57,24,9,33.62
19-Jun-20,16.1,11.2,7.6,0,0,30,3,2,2,4,0,1,2,2,-49,-1,-15,-54,-56,23,7,58.2
20-Jun-20,19.8,8.5,1.4,0,0,29,3,2,2,4,0,1,2,2,-50,4,18,-37,-19,9,3,48.58
21-Jun-20,19.7,8.7,0.7,0,0,19,3,2,2,4,0,1,2,2,-52,-7,0,-44,-10,9,1,7.22
22-Jun-20,20.9,8.7,1.5,0,0,25,3,2,2,4,0,1,2,2,-43,-10,10,-53,-58,22,5,45.88
23-Jun-20,19.3,15,2,0,0,28,3,2,2,4,0,1,2,2,-43,-3,23,-51,-57,21,1,48.96
24-Jun-20,21.2,12.6,0,0,0,29,3,2,2,4,0,1,2,2,-43,-3,58,-47,-56,21,8,71.3
25-Jun-20,25.3,11.5,0.1,0,0,33,3,2,2,4,0,1,2,2,-44,0,66,-46,-56,20,8,48.92
26-Jun-20,23.7,13.8,1.7,0,0,32,2,1,0,2,1,0,0,2,-46,0,21,-50,-55,21,12,39.14
27-Jun-20,18.7,11,7.8,0,0,23,2,1,0,2,1,0,0,2,-51,-2,-32,-44,-22,11,0,51.42
28-Jun-20,17.1,10.8,1.2,0,0,16,2,1,0,2,1,0,0,2,-51,-13,-38,-49,-14,10,5,7.9
29-Jun-20,14.4,10.9,0.8,0,0,28,2,1,0,2,1,0,0,2,-34,-9,-6,-50,-55,19,5,42.1
30-Jun-20,17.6,11.2,0.1,0,0,30,2,1,0,2,1,0,0,2,-33,-4,45,-49,-54,18,2,56.2
1-Jul-20,15.5,12.9,14,0,0,32,2,1,0,2,1,0,0,2,-38,-10,-19,-51,-55,20,6,70.7
2-Jul-20,18.5,10.9,0.5,0,0,32,2,1,0,2,1,0,0,2,-35,-5,32,-48,-54,19,1,46.92
3-Jul-20,19.6,11.8,2.5,0,0,33,2,1,0,2,1,0,0,2,-40,-6,-4,-50,-54,18,5,45.04
4-Jul-20,20.1,14.8,2.5,0,0,22,2,1,0,2,1,0,0,2,-43,-7,-2,-38,-17,6,8,31.66
5-Jul-20,17.3,10.7,0.6,0,0,17,2,1,0,2,1,0,0,2,-43,-16,-21,-44,-12,6,1,11.02
6-Jul-20,18.5,10.2,0.1,0,0,27,2,1,0,2,1,0,0,2,-32,-9,32,-48,-55,17,12,38.36
7-Jul-20,15.5,11,14.6,0,0,30,2,1,0,2,1,0,0,2,-36,-9,-26,-52,-55,18,3,50.76
8-Jul-20,14.5,11.6,13.5,0,0,33,2,1,0,2,1,0,0,2,-36,-10,-20,-50,-53,19,10,38.88
9-Jul-20,17.7,11.7,2.5,0,0,33,2,1,0,2,1,0,0,2,-34,-5,17,-48,-53,18,12,50.46
10-Jul-20,18,7.7,0,0,0,35,2,1,0,2,1,0,0,2,-37,-5,28,-46,-52,16,7,56.12
11-Jul-20,18.3,7,0,0,0,25,2,1,0,2,1,0,0,2,-42,-5,30,-33,-12,4,14,27.72
12-Jul-20,19.5,9.4,0.4,0,0,21,2,1,0,2,1,0,0,2,-41,-13,15,-36,-7,3,4,3.42
13-Jul-20,19.7,13.3,0.6,0,0,27,2,1,0,2,1,0,0,2,-32,-9,22,-49,-54,17,15,55.86
14-Jul-20,15.4,11,3.7,0,0,31,2,1,0,2,1,0,0,2,-34,-9,-3,-51,-53,18,10,49.14
15-Jul-20,20.8,12.2,1.2,0,0,30,2,1,0,2,1,0,0,2,-31,-7,42,-48,-52,17,13,74.88
16-Jul-20,24,14.1,0.2,0,0,32,2,1,0,2,1,0,0,2,-32,-7,53,-49,-52,17,26,48.1
17-Jul-20,21,14.6,0.8,0,0,39,2,1,0,2,1,0,0,2,-35,-7,18,-49,-51,16,11,48.6
18-Jul-20,19.3,11.4,5,0,0,24,2,1,0,2,1,0,0,2,-39,-7,34,-36,-10,4,6,52.94
19-Jul-20,19.3,6.6,0,0,0,22,2,1,0,2,1,0,0,2,-38,-13,41,-36,-4,2,5,10.24
20-Jul-20,19.3,6.2,0,0,0,28,2,1,0,2,1,0,0,2,-30,-9,61,-48,-53,15,21,38.8
21-Jul-20,19.5,10.7,0,0,0,30,2,1,0,2,1,0,0,2,-30,-7,84,-47,-53,15,11,70.14
22-Jul-20,21.6,13.4,3.6,0,0,30,2,1,0,2,1,0,0,2,-33,-10,30,-49,-52,17,2,61
23-Jul-20,20.2,13.8,2.7,0,0,31,2,1,0,2,1,0,0,2,-33,-9,12,-50,-52,18,15,60.54
24-Jul-20,21.2,11.5,3.9,0,0,37,2,1,0,2,1,0,0,2,-36,-10,9,-49,-50,16,11,64.22
25-Jul-20,17.7,11.3,4.7,0,0,23,2,1,0,2,1,0,0,2,-39,-10,7,-38,-11,4,9,31.28
26-Jul-20,20.5,11.6,3.4,0,0,17,2,1,0,2,1,0,0,2,-37,-16,8,-39,-4,3,5,8.72
27-Jul-20,19.5,11.3,9.7,0,0,28,2,1,0,2,1,0,0,2,-30,-12,27,-50,-54,16,16,63.96
28-Jul-20,18.1,9.9,0,0,0,30,2,1,0,2,1,0,0,2,-28,-8,55,-48,-52,15,7,20.52
29-Jul-20,17.1,11.6,0.8,0,0,30,2,1,0,2,1,0,0,2,-29,-9,25,-48,-53,16,18,70.68
30-Jul-20,21,14.4,7,0,0,30,2,1,0,2,1,0,0,2,-29,-8,28,-49,-53,16,16,38.7
31-Jul-20,23.1,15.2,2.2,0,0,33,2,1,0,2,1,0,0,2,-33,-11,31,-47,-52,14,4,66.66
1-Aug-20,19,12.5,1.4,0,0,21,2,1,0,2,1,0,0,2,-40,-16,14,-38,-12,3,20,43.84
2-Aug-20,19,10.4,2.8,0,0,16,2,1,0,2,1,0,0,2,-38,-23,10,-40,-5,2,2,13.58
3-Aug-20,19.1,9.2,0,0,0,16,2,1,0,2,1,0,0,2,-29,-24,77,-55,-78,17,7,48.38
4-Aug-20,24.1,12.1,1.5,0,0,28,2,1,0,2,1,0,0,2,-27,-7,59,-47,-54,15,4,54.6
5-Aug-20,23.6,13.6,0.6,0,0,28,2,1,0,2,1,0,0,2,-31,-13,27,-49,-54,17,5,59.82
6-Aug-20,21.8,11.1,0,0,0,30,2,1,0,2,1,0,0,2,-30,-11,43,-48,-53,16,5,54.26
7-Aug-20,25,13.2,0.2,0,0,30,2,1,0,2,1,0,0,2,-34,-12,40,-48,-51,15,25,46.08
8-Aug-20,20.5,9.9,0,0,0,25,2,3,2,3,1,1,2,2,-41,-12,63,-34,-9,1,16,56.72
9-Aug-20,18.3,9.7,0,0,0,17,2,3,2,3,1,1,2,2,-40,-19,14,-40,-4,2,9,7.82
10-Aug-20,17.2,11.9,1.4,0,0,24,2,3,2,3,1,1,2,2,-32,-17,5,-53,-55,15,1,30.4
11-Aug-20,19.4,12.1,0,0,0,27,2,3,2,3,1,1,2,2,-29,-12,54,-49,-53,15,12,57.4
12-Aug-20,23.3,16.4,0,0,0,28,2,3,2,3,1,1,2,2,-31,-12,65,-48,-53,15,22,60
13-Aug-20,22.5,16,0,0,0,29,2,3,2,3,1,1,2,2,-30,-11,44,-51,-52,16,18,60.46
14-Aug-20,20.8,14.1,0,0,0,30,2,3,2,3,1,1,2,2,-33,-11,37,-50,-51,14,55,71.9
15-Aug-20,20.7,13.6,0,0,0,23,2,3,2,3,1,1,2,2,-38,-11,48,-37,-9,2,15,35.24
16-Aug-20,16.6,15.3,1.3,0,0,16,2,3,2,3,1,1,2,2,-39,-20,-16,-45,-6,4,12,10.86
17-Aug-20,16.1,15.2,13.2,0,0,28,2,3,2,3,1,1,2,2,-32,-18,-23,-55,-55,17,44,54.42
18-Aug-20,22,14.3,11.6,0,0,30,2,3,2,3,1,1,2,2,-29,-11,38,-50,-52,16,19,46.04
19-Aug-20,17.8,12.1,10.1,0,0,31,2,3,2,3,1,1,2,2,-36,-18,-23,-55,-53,18,51,54.42
20-Aug-20,21.5,14.4,2.5,0,0,29,2,3,2,3,1,1,2,2,-31,-13,-3,-55,-53,18,41,51.52
21-Aug-20,20,14.2,1.3,0,0,31,2,3,2,3,1,1,2,2,-33,-11,19,-51,-51,16,51,38.74
22-Aug-20,18.1,13.1,1.4,0,0,23,2,3,2,3,1,1,2,2,-36,-12,0,-41,-9,5,39,39.52
23-Aug-20,18.6,11.4,0.2,0,0,19,2,3,2,3,1,1,2,2,-34,-16,12,-41,-4,4,78,10.72
24-Aug-20,17.4,9.1,3.6,0,0,28,2,3,2,3,1,1,2,2,-27,-13,39,-51,-53,15,17,57.34
25-Aug-20,18.4,12.8,17.9,0,0,31,2,3,2,3,1,1,2,2,-32,-15,-24,-55,-53,18,92,74.32
26-Aug-20,20.5,11.2,0.6,0,0,36,2,3,2,3,1,1,2,2,-24,-5,62,-47,-51,15,34,67.42
27-Aug-20,14.7,11.4,8.8,0,0,35,2,3,2,3,1,1,2,2,-28,-10,-18,-52,-52,18,51,61.64
28-Aug-20,15.9,9,8.9,0,0,37,2,3,2,3,1,1,2,2,-31,-8,-8,-50,-50,16,60,46.52
